Produksi Perikanan Tangkap Menurut Provinsi dan Subsektor (ton), 2000-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Provinsi,Perikanan Laut,,,,,,,,,,,,,,,,,,,,,Perairan Umum Daratan,,,,,,,,,,,,,,,,,,,,,Jumlah,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018*,2019*,2020*,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018*,2019*,2020*,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018*,2019*,2020*
Kalimantan Barat,61.503,64.616,64.896,63.618,65.414,60.616,66.16,65.828,75.998,77.442,86.255,94.063,101.991,120.079,165.622,136.301,113.43,128.208,112.004,97.498,119.284,11.729,12.961,13.113,11.914,10.046,13.486,9.963,7.795,7.655,9.035,9.666,9.84,10.761,43.454,27.297,29.886,15.997,34.205,53.251,48.678,32.06,77.313,80.446,80.932,79.431,75.46,74.102,76.123,73.623,83.653,77.442,95.921,103.903,112.752,163.533,192.919,166.187,129.427,162.413,165.255,146.176,151.344
Kalimantan Tengah,53.018,55.911,56.071,45.176,46.286,45.994,48.402,48.57,48.162,47.359,52.123,46.4,54.574,66.312,66.384,100.427,123.804,67.384,87.67,107.399,109.772,36.421,35.654,36.376,29.36,27.308,27.506,33.574,39.417,40.803,38.545,40.157,35.174,40.381,35.579,37.7,30.18,27.474,46.439,45.697,43.039,44.515,91.339,93.707,95.278,78.751,73.594,73.5,81.976,87.987,88.965,47.359,92.28,81.574,94.955,101.891,104.084,130.607,151.278,113.823,133.367,150.438,154.287
Kalimantan Selatan,97.886,99.39,106.07,111.098,116.254,136.52,121.496,98.684,106.484,109.33,115.555,115.688,131.074,176.691,178.916,170.861,176.506,188.7,250.125,140.424,137.554,59.158,58.653,55.855,54.563,47.95,49.613,49.665,53.563,49.518,45.899,62.468,63.595,61.458,65.014,65.667,70.435,71.229,73,75.705,83.13,70.28,162.107,164.617,169.354,174.628,164.204,186.133,171.161,152.247,156.002,109.33,178.023,179.283,192.532,241.705,178.916,241.296,247.735,188.773,325.83,223.554,207.834
Kalimantan Timur,71.937,82.715,84.089,87.803,93.511,99.692,90.825,95.74,92.176,93.762,115.601,102.907,105.393,107.147,111.199,99.94,101.718,41.041,105.97,134.365,122.999,30.886,28.425,26.829,28.124,32.32,30.593,27.163,35.549,33.557,34.445,44.108,42.776,42.94,43.241,43.348,9.41,41.462,63,56.109,41.684,43.378,121.101,134.227,134.149,136.856,125.831,130.285,117.988,131.289,125.733,93.762,159.709,145.683,148.333,150.388,111.199,109.35,143.18,41.104,162.078,176.049,166.377
Kalimantan Utara, , , , , , , , , , , , , , , ,15.801,16.284,12.619,32.175,34.85,25.23, , , , , , , , , , , , , , , ,1.03,1.028,4.808,656,585,574, , , , , , , , , , , , , , , ,16.831,17.312,17.427,32.831,35.435,25.804
Sulawesi Utara,187.77,183.862,196.239,182.321,192.433,191.868,189.546,191.257,206.151,214.11,220.76,230.523,279.031,282.98,295.204,257.774,302.864,393.448,368.71,258.976,322.694,3.015,2.25,1.087,1.167,907,1.043,1.247,1.373,1.341,1.417,1.496,1.128,2.318,-,1.163,1.307,1.162,1.249,13.295,9.563,7.53,197.534,192.889,206.852,193.669,193.34,192.911,190.793,192.63,207.492,214.11,222.256,231.651,281.349,282.98,296.367,259.081,304.026,394.697,382.005,268.539,330.224
Sulawesi Tengah,92.35,79.639,65.771,65.569,87.565,92.088,96.738,116.83,139.018,148.806,140.465,145.784,196.108,259.984,263.887,171.565,210.141,177.517,168.551,133.997,149.776,398,147,95,118,132,297,342,376,487,278,882,48,1.095,2.476,3.428,3.453,2.192,921,2.565,1.363,2.892,101.087,88.125,66.777,89.829,87.697,92.385,97.08,117.206,139.505,148.806,141.347,145.832,197.203,262.46,267.315,175.018,212.333,178.438,171.115,135.36,152.668
Sulawesi Selatan,309.89,306.115,337.042,354.399,314.678,277.433,281.939,282.535,250.138,219.417,216.459,218.819,247.173,277.896,287.897,318.394,295.143,332.77,339.869,368.973,352.99,25.25,26.668,22.258,22.412,19.947,19.95,20.8,19.014,6.771,7.11,6.799,18.989,12.71,14.345,14.296,10.673,12.704,29.268,26.672,27.785,34.187,453.58,450.589,468.917,476.882,334.625,297.383,302.739,301.549,256.909,219.417,223.258,237.808,259.883,292.241,302.193,329.067,307.847,362.038,366.541,396.757,387.177
Sulawesi Tenggara,144.259,159.873,167.386,185.52,187.658,213.61,200.689,204.195,208.304,217.515,221.412,227.356,135.446,124.549,150.588,146.325,185.429,229.328,238.282,252.594,253.359,3.815,4.193,4.358,4.422,4.465,3.99,4.727,4.841,5.007,5.784,5.826,5.838,13.348,3.228,2.931,2.875,2.259,3.532,2.057,1.435,1.819,157.284,175.056,188.139,203.021,192.123,217.6,205.416,209.036,213.311,217.515,227.238,233.194,148.794,127.777,150.588,149.2,187.688,232.861,240.339,254.029,255.178
Gorontalo,-,-,32.171,33.168,34.997,37.036,48.213,49.06,62.921,66.717,72.325,75.68,84.683,91.439,102.534,104.437,117.314,134.889,145.07,144.141,115.812,-,-,810,870,822,860,1.05,903,817,831,770,689,714,883,809,1.048,1.048,1.267,2.329,1.797,2.061, , ,34.161,34.754,35.819,37.896,49.263,49.963,63.738,66.717,73.095,76.369,85.397,92.322,103.343,105.485,118.362,136.156,147.399,145.938,117.873
Sulawesi Barat,-,-,-,-,-,38.935,46.727,66.449,68.249,70.728,71.178,72.454,42.002,45.81,46.717,55.759,64.336,56.1,65.328,67.149,64.182,-,-,-,-,-,161,166,-,-,-,-,-,-,-,-,–,-,0,-,0,0,-,-,-,-,-,39.096,46.893,66.449,68.249,70.728,71.178,72.454,42.002,45.81,46.717,55.759,64.336,56.1,65.328,67.149,64.182
Maluku,361.112,217.642,171.536,373.771,424.736,481.848,484.406,489.249,315.409,341.966,559,567.953,537.262,551.812,538.121,617.985,583.639,602.953,603,490.073,445.577,113,-,-,6,58,210,89,124,109,37,49,10,9,33,27,19,-,17,-,0,0,361.433,217.85,171.798,373.882,424.794,482.058,484.495,489.373,315.518,341.966,559.049,567.963,537.271,551.845,538.121,618.004,583.639,602.97,603,490.073,445.577
Maluku Utara,-,83.783,91.342,77.832,79.963,107,117.321,134.354,143.164,145.355,148.028,150.232,150.97,151.541,218.097,251.11,254.856,96.528,286.629,288.187,319.925,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,–,-,0,-,0,0,-,83.808,105.228,77.871,79.963,107,117.321,134.354,143.164,145.355,148.028,150.232,150.97,151.541,218.097,251.11,254.856,96.528,286.629,288.187,319.925
Papua Barat,-,-,-,-,-,-,100.574,101.411,99.952,106.089,116.593,117.053,120.329,121.774,119.984,136.393,151.587,421.84,204.18,144.038,121.044,-,-,-,-,-,-,-,-,-,-,251,246,328,230,219,276,378,669,324,568,697,-,-,-,-,-,-,100.574,101.411,99.952,106.089,116.844,117.299,120.657,122.004,120.203,136.669,151.965,422.509,204.504,144.607,121.742
Papua,202.968,209.13,214.879,243.459,274.594,214.862,218.327,224.191,225.055,228.165,263.528,269.259,281.48,286.339,290.438,221.34,222.528,175.211,222.925,220.929,231.748,2.944,3.001,3.097,3.226,4.654,6.725,6.876,6.927,7.312,7.516,7.52,7.625,7.791,-,9.829,11.224,11.039,10.763,11.251,0,6.249,208.147,214.37,220.762,249.465,279.248,221.587,225.203,231.118,232.367,228.165,271.048,276.884,289.271,286.339,300.267,232.564,233.567,185.974,234.176,220.929,237.997
Indonesia,3.807.191,3.966.480,4.073.506,4.383.103,4.320.241,4.408.499,4.512.191,4.734.280,4.701.933,4.812.235,5.039.446,5.345.729,5.435.633,5.707.012,6.037.654,6.204.668,6.115.469,6.603.631,6.701.834,7.164.302,6.493.258,318.334,310.24,304.989,308.693,330.88,297.37,293.921,310.457,494.395,295.736,344.972,368.542,393.561,398.213,446.692,473.134,464.722,467.822,659.282,557.793,494.95,4.888.771,5.091.634,5.233.617,5.609.118,4.651.121,4.705.869,4.806.112,5.044.737,5.196.328,4.914.560,5.384.418,5.714.271,5.829.194,6.105.225,6.358.487,6.677.802,6.580.191,7.071.453,7.361.116,7.722.095,6.988.208
